avoir le cul bordé de nouilles,phrase
avoir le cul dans le beurre (page does not exist),
avoir le cul entre deux chaises (page does not exist),
avoir le cul sur la selle (page does not exist),
avoir le feu au cul (page does not exist),
avoir le feu aux fesses (page does not exist),
avoir l'effet inverse (page does not exist),
avoir le fou rire (page does not exist),
avoir le gosier en pente (page does not exist),
avoir le gosier ferré (page does not exist),
avoir le gosier pavé (page does not exist),
avoir le gosier sec (page does not exist),
avoir le melon,v
avoir le pain et le couteau (page does not exist),
avoir les abeilles (page does not exist),
avoir les chevilles grosses,v
avoir les crocs,v
avoir les foies (page does not exist),
avoir les jambes en coton,v
avoir l'estomac dans les talons,idiom
avoir les yeux plus grands que le ventre (page does not exist),
avoir les yeux plus gros que la panse (page does not exist),
avoir les yeux plus gros que le ventre (page does not exist),
avoir le vent en poupe,
avoir l'habitude de (page does not exist),
avoir lieu,v
avoir l'intention (page does not exist),
avoir l'occasion de (page does not exist),
avoir mal,v
avoir mangé du lion,v
avoir part,v
avoir peur,v
avoir quelque chose sur les bras (page does not exist),
avoir raison,v
avoir raison de,v
avoir ses règles (page does not exist),
avoir soif,v
avoir succès (page does not exist),
avoir tort,v
avoir un balai dans le cul (page does not exist),
avoir un chat dans la gorge,v
avoir un coup de pompe,v
avoir une araignée au plafond,
avoir une brioche au four,v
avoir une dent contre,v
avoir une dent contre quelqu'un (page does not exist),
avoir une dent creuse (page does not exist),
avoir une faim de loup,v
avoir une plume dans le cul (page does not exist),
avoir une tête et des jambes,phrase
avoir un œil de lynx (page does not exist),
avoir un polichinelle dans le tiroir,v
avoir vent,
avoir voix au chapitre (page does not exist),
d'avoir,contraction
avoisiner,v
avorté,
avortement,n
avorter,v
avorton,n
avouable,adj
avouer,v
avril,n
avunculaire,adj
awadhi (page does not exist),
axe,n
Axe,proper
axe des abscisses (page does not exist),
axe des cotes (page does not exist),
axe des ordonnées (page does not exist),
axe des x (page does not exist),
axe des y (page does not exist),
axe des z (page does not exist),
axe du mal (page does not exist),
Axel,proper
Axelle,proper
axer,v
axial,
axiologie,n
axiomatique,adj
axiomatiquement,adv
axiome,n
axiome du choix (page does not exist),
axolotl,
axonais,
Axonais,
axone,n
ayant,n
ayant circulé (page does not exist),
ayant droit,n
ayatollah,n
aye-aye,
Ayers Rock,
aymara,
Aymeric,proper
ayoye,int
Ayyavazhi,
azalée,n
azawakh,
azédarach,n
Azerbaïdjan,proper
Azerbaïdjanais,n
azerbaïdjanais,adj
Azéri,n
azéri,n adj
azerole,n
azérolier,n
azerty,n
azimut,n
azoospermie,n
azotate,
azote,n
azoté,adj
azote liquide (page does not exist),
azoture,
Aztèque,n
aztèque,adj
azur,n
azuréen,adj
azurite,n
azyme,adj
b-a ba,n
baassiste,adj n
baba,n
Baba Yaga,
babésiose,
babeurre,n
babil,n
babillage,n
babillard,n
babillarde,
babillement (page does not exist),
babiller,v
babine,n
babiole,n
babiroussa,
Babœuf,proper
babord,n
bâbord,n
babouche,
babouin,n
babuza (page does not exist),
baby,n
baby-foot,n
baby-sitter,n
baby-sitting,
babyboom,n
babyfoot,n
Babylone,
Babylonie (page does not exist),
babylonien,adj
bac,n
bac à sable,n
baccalauréat,n
baccara,n
bacchante,
Bach,
bâche,n
bachelier,n
bâcher,v
bachkir (page does not exist),
bachot,n
bachotage,n
bachoter,
bacille,
bacilliforme,adj
backgammon,n
bâclé,
bâcler,v
baconien,adj
bactéricide,adj n
bactérie,n
bactérien,adj
bactéries,
bactériologie,n
bactériologique,adj
bactériologiquement,adv
bactériologiste,n
bactériophage,adj n
Bactriane (page does not exist),
Bactrie (page does not exist),
badaud,n
Bade-Wurtemberg (page does not exist),
baderne,n
badge,n
badger,v
badiane chinoise,
badigeon,
badigeonner,v
badin,adj n
badine,n
badiner,v
badminton,
baffe,
baffer,v
baffle,n
bafouer,v
bafouillage,n
bafouille,n
bafouiller,v
bâfrer,
bafut (page does not exist),
bagage,n
bagages,
bagagiste,
bagarre,n
bagarrer,v
bagarreur,adj n
bagasse,n
bagatelle,
Bagdad,proper
bagel,
bagnard,n
bagnat (page does not exist),
bagne,n
bagnole,
bagouse (page does not exist),
bagout,n
bagouze (page does not exist),
bague,n
bague de fiançailles (page does not exist),
baguenaudage (page does not exist),
baguer,v
baguette,n
baguette de tambour (page does not exist),
baguette divinatoire (page does not exist),
baguette magique (page does not exist),
bah,int
Bahamas,
Bahrayn,
Bahreïn,proper
Bahreïni,n
bahreïni,adj
Bahreïnie,
Bahreïnite (page does not exist),
bahreïnite (page does not exist),
bahut,n
bai,adj
baie,n
baie de Botnie (page does not exist),
Baie de Frobisher (page does not exist),
baie de genièvre (page does not exist),
baie de Guanabara,proper
baie de sureau (page does not exist),
baignade,n
baignade à poil,n
baigner,v
baigneur,n
baignoire,n
Baïkal (page does not exist),
Baïkonour (page does not exist),
bail,n
baille,n
bâillement,n
bâiller,v
bâiller comme une carpe,v
bailleur,n
bailleur social,n
bailli,n
bailliage,n
bâillon,n
bâillonner,v
bain,n
bain de sang,n
bain de soleil (page does not exist),
bain de vapeur (page does not exist),
bain marie,
bain-marie,n
bain moussant (page does not exist),
baïonnette,n
baisable,adj
baisage,
baise,n
baisé,
baise-en-ville,n
baise-moi (page does not exist),
baisemain,n
baiser,n v
baiser comme un lapin,v
baiseur,n
baiseuse,
baisodrome,n
baisoter,v
baisse,n
baissé,
baisser,v
baisser le rideau,v
baisser les bras,v
baissier,n
baisure (page does not exist),
bajou (page does not exist),
bajoue,n
bakchich,n
baked beans,
baklava,
Bakou,proper
bakufu,
bal,n
balade,n
balader,v
baladeur,n adj
baladeuse,n
baladin,n
baladodiffusion,
balafre,n
balafrer,v
balai,n
balaise (page does not exist),
balalaïka,n
Balance,proper
balance,n
balancer,
balancier,n
balançoire,n
balanite,
balayage,n
balayer,v
balayette,n
balayeur,n
balayeuse,n
balayure,n
balbusard,n
balbutiement,n
balbutier,v
balbutieur,n
balbuzard,n
balbuzard pêcheur (page does not exist),
balcon,n
balconnet,n
baldaquin,n
Bâle,proper
Bâle-Campagne (page does not exist),
Bâle-Ville (page does not exist),
baléare,adj
Baléares,
Baleine (page does not exist),
baleine,n
baleine à bec,n
baleine à bosse,n
baleine à fanons,n
baleine bleue,n
baleine boréale,n
baleine de Cuvier,n
baleine de minke (page does not exist),
baleine de Minke,n
baleine du Groenland,n
baleine franche (page does not exist),
baleine grise,n
baleine-pilote,
baleine pilote,n
baleine pygmée,n
baleineau,n
baleinier,adj n
baleinière,n
balestrille,n
balèze,adj
Bali,
balinais,adj n
Balinais,n
balisage,n
balise,n
baliser,v
baliseur,n
balisong,
baliste,adj
baliste écharpe (page does not exist),
balistique,adj n
balistiquement,adv
balivage,
baliveau,n
baliver,v
baliverne,n
baliverner,
balivernes,
baliveur,n
balkanique,adj
balkanisation,n
balkaniser,v
Balkans,
ballade,
ballant,adj
ballast,
ballaster,v
balle,n
balle de baseball (page does not exist),
balle de break,n
balle de match,n
balle de neige (page does not exist),
balle de set,n
balle molle (page does not exist),
balle-molle (page does not exist),
balle rapide,n
ballerine,n
ballet,n
ballon,n
ballon à air chaud (page does not exist),
ballon à gaz (page does not exist),
ballon cerf-volant (page does not exist),
ballon de foot (page does not exist),
ballon d'essai,
ballon dirigeable,n
ballon d'oxygène (page does not exist),
ballon en baudruche (page does not exist),
ballon-pilote (page does not exist),
ballon rond,n
ballon-satellite (page does not exist),
ballon solaire (page does not exist),
ballon-sonde,n
ballonner,v
ballonnet,n
ballot,n
ballottage,n
ballottement,n
ballotter,v
ballottine,n
balluchon,n
balnéaire,adj
balnéothérapie,n
Bâlois,
bâlois,adj
balourd,adj n
balourdise,n
balrog,
balsamier,n
balsamine,n
balsamique,adj
balte,adj
baltique,adj
baluchon,n
balustrade,
balustre,
Balzac,proper
balzacien,adj
bambara,n
bambin,n
bambine,n
bambocheur,n
bambou,n
bambouseraie,n
banal,adj
banale,
banalement,adv
banaliser,v
banalité,n
banane,n
banane à cuire (page does not exist),
banane cochon (page does not exist),
banane Melba (page does not exist),
banane plantain (page does not exist),
bananer,v
bananeraie,n
bananier,adj n
banc,n
banc de fidèle,n
banc d’église,n
banc de l’œuvre,n
banc de neige,n
banc de poissons (page does not exist),
banc de sable,
banc des pénalités (page does not exist),
banc d’œuvre,n
banc solaire (page does not exist),
bancable,adj
bancaire,adj
bancal,adj
bancassurance,n
bandage,n
bandant,adj
Bandar Seri Begawan,
Bande,
bande,n
bande-annonce (page does not exist),
bande d'arrêt d'urgence,n
bande de Gaza,proper
Bande de Gaza,
Bande des Quatre (page does not exist),
Bande dessinée (page does not exist),
bande dessinée,n
bande dessinée kébécoise (page does not exist),
bande dessinée québécoise (page does not exist),
bande élastique (page does not exist),
bande magnétique (page does not exist),
bande originale de film (page does not exist),
bande passante (page does not exist),
bande perforée (page does not exist),
bande-son,n
bande son (page does not exist),
bande sonore,n
bande transporteuse (page does not exist),
bande vidéo (page does not exist),
bande-vidéo,n
bandeau,n
bandelette,n
bander,v
bander comme un âne,v
bander comme un cerf,v
bander comme un taureau,v
bander comme un Turc,v
bander les yeux (page does not exist),
banderille,n
banderole,n
bandicoot,
bandit,n
bandit de grand chemin (page does not exist),
bandit manchot (page does not exist),
banditisme,n
bandoulière,n
bandy,
bang,
Bangalore,
Bangkok,proper
bangkokien (page does not exist),
Bangkokien (page does not exist),
bangladais,adj
Bangladesh,proper
bania,
banian,n
banière (page does not exist),
banique (page does not exist),
banjo,
banjoïste,n
banlieue,n
banlieusard,adj n
banneret,n
bannette,n
banni,
bannière,n
bannir,v
bannissable (page does not exist),
bannissement,n
banque,n
Banque centrale européenne (page does not exist),
banque coopérative (page does not exist),
Banque mondiale (page does not exist),
banquer,
banqueroute,n
banquet,
banquette,n
banquier,n
banquise,n
bans,
banshee,
banshie,
Bantou,n
bantou,adj
banya,
baobab,n
baptême,int n
baptême du feu,n
baptiser,v
baptismal,
baptiste,n
Baptiste,proper
baquet,n
baqueter,
bar,n
bar commun (page does not exist),
bar européen (page does not exist),
bar-tabac,
Barachie,proper
baragouin,n
baragouiner,v
baraki,
baraque,n
baraqué,adj
baraquement,n
baratin,n
baratiner,v
baratineur,adj
baratte,n
baratter,v
barbacane,
Barbade,proper
barbadien,adj
Barbadien,n
barbant,adj
barbante,
barbaque,n
Barbara,proper
barbare,adj
barbarement,adv
barbaresque,adj n
barbarie,n
barbarisme,n
barbarouffement,n
barbarouffer,v
Barbe,proper
barbe,n adj
barbe à papa,n
Barbe-Bleue (page does not exist),
barbe de trois jours,n
Barbe Noire (page does not exist),
barbeau,n
barbecue,
barbelé,adj n
barbeler,v
barber,v
barbiche,n
barbichette,n
barbier,n
barbifier,v
barbillon,n
barbiturique,n adj
barbon,
barboter,v
barboteuse,n
barbotine,
barbouillé,adj
barbouiller,v
barbouze,n
barbu,adj
barbue,n
barbure (page does not exist),
Barcelonais (page does not exist),
barcelonais,adj
barcelonaise,
Barcelonaise (page does not exist),
Barcelone,proper
bard,
bardane,n
bardaud (page does not exist),
barde,n
bardeau,n
barder,v
bardot,n
barège,n
barème,n
baréter,v
barge,adj n
barge rousse (page does not exist),
Bari,
baribal (page does not exist),
baril,n
barillet,n
bariolé,adj
bariolure,
barite,
barkhane,
barlotière,n
barmaid,
barman,n
Barnaoul (page does not exist),
barniques (page does not exist),
baromètre,n
barométrique,adj
barométrographe,
baron,n
baronne,n
baroque,
baroud,n
baroud d'honneur,n
baroudeur,n
barouf,
baroufe (page does not exist),
barque,n
barquette,n
barracuda,n
barrage,n
barre,n
barré,adj
barre d'adresse (page does not exist),
barre d’armature (page does not exist),
barre de défilement (page does not exist),
barre de manœuvre (page does not exist),
barre de progression (page does not exist),
barre des tâches (page does not exist),
barre de torsion (page does not exist),
barre d'outils,n
barre fixe,n
barre oblique,n
barre oblique inverse,n
barre transversale,n
barreau,n
barrer,v
barres asymétriques,
barres parallèles,
barrette,n
barreur,n
barricade,
barricader,v
barrière,n
barrière linguistique (page does not exist),
barrique,n
barrir,v
barrissement,n
Barthélemy,proper
Bartimée,proper
barycentre,n
barye,n
baryonique,adj
baryton,n
baryum,n
barzoï,
bas,adj adv n
bas à jour,n
bas-allemand (page does not exist),
bas-allemand mennonite (page does not exist),
Bas-alpins (page does not exist),
bas-alpins (page does not exist),
bas autofixant,n
Bas-Canada,proper
bas couture,n
bas-cul (page does not exist),
bas-culotte (page does not exist),
bas de gamme (page does not exist),
bas-fond,n
bas latin (page does not exist),
bas-latin,n
bas les pattes (page does not exist),
bas peuple (page does not exist),
bas relief,
bas résille,n
Bas-Rhin,proper
bas saxon (page does not exist),
bas-sorabe (page does not exist),
bas-ventre,n
Basabürü,proper
basaliome,n
basalte,n
basaltique,adj
basané,adj
basaner,v
bascophone,adj
basculer,v
basculeur,
base,n
base aérienne (page does not exist),
base-ball,n
base de données,n
base de données relationnelle,
base de lancement (page does not exist),
base-sur-balles,n
base-sur-balles intentionnel (page does not exist),
baseball,n
baseballeur,n
basenji,
baser,v
bashkir,
baside,
basilaire,adj
Basile,proper
basilic,n
Basilicate,
basilique,n
basin,n
basion,
basique,adj
basiquement,
basket,n
basket-ball,n
basketball,
baskets,n
basketteur,n
basketteuse,
basocellulaire,adj
basophile,adj n
basquais,adj
basque,n adj
Basque,
basse,n
basse-cour,n
basse pression (page does not exist),
Basse-Saxe,proper
basse-taille,n
Basse-Terre,proper
bassement,adv
bassesse,n
Basseterre,
bassin,n
bassin de drainage (page does not exist),
bassin de radoub (page does not exist),
bassin hydrographique (page does not exist),
bassine,n
bassiner,v
bassinoire,n
bassiste,n
basson,n
bassoniste (page does not exist),
Bassorah,proper
baste pour cela (page does not exist),phrase
Bastia,
bastiais,
Bastiais (page does not exist),
bastide,n
Bastien,proper
bastille,n
Bastille,
basting,n
bastingage,n
bastion,n
baston,n
bastonnade,n
bastos,n
bataille,n
bataille d'eau,n
bataille de polochons (page does not exist),
bataille navale (page does not exist),
batailler,v
batailleur,
bataillon,n
batara (page does not exist),
batara à ailes rousses (page does not exist),
batara à ailes unies (page does not exist),
batara à dos rayé (page does not exist),
batara à épaulettes blanches (page does not exist),
batara à gorge noire (page does not exist),
batara à joues argent (page does not exist),
batara à poitrine noire (page does not exist),
batara à tête rousse (page does not exist),
batara bleuâtre (page does not exist),
batara capucin (page does not exist),
batara d'acre (page does not exist),
batara d'Amazonie (page does not exist),
batara de Bernard (page does not exist),
batara de Bolivie (page does not exist),
batara de Castelnau (page does not exist),
batara de Cayenne (page does not exist),
batara de Chapman (page does not exist),
batara de Lafresnaye (page does not exist),
batara de Leach (page does not exist),
batara demi-deuil (page does not exist),
batara de Natterer (page does not exist),
batara des bambous (page does not exist),
batara de Sooretama (page does not exist),
batara du Cocha (page does not exist),
batara du Plano Alto (page does not exist),
batara étoilé (page does not exist),
batara fascié (page does not exist),
Batara huppé (page does not exist),
batara luisant,n
batara mantelé (page does not exist),
batara montagnard (page does not exist),
batara moucheté (page does not exist),
batara noir (page does not exist),
batara ondé (page does not exist),
batara othello (page does not exist),
batara perlé (page does not exist),
batara rayé (page does not exist),
batara tacheté (page does not exist),
batara unicolore (page does not exist),
batard,
bâtard,n
bâtarde,n
Batave,n
batave,adj
batavia,n
bateau,n
bateau à rames (page does not exist),
bateau à vapeur (page does not exist),
bateau de pêche (page does not exist),
bateau de sauvetage (page does not exist),
bateau-dragon (page does not exist),
bateau fluvial (page does not exist),
bateau gonflable (page does not exist),
bateau-mouche,
bateau pneumatique (page does not exist),
batelier,n
bâter,v
bath,n adj
bathydémersal (page does not exist),
bathypélagique,adj
bathyscaphe,n
bathysphère,n
bâti,n
batifoler,v
batik,
bâtiment,n
bâtiment de transport léger (page does not exist),
bâtiment précieux,n
bâtir,v
bâtir des châteaux en Espagne (page does not exist),
bâtir des plans sur la comète (page does not exist),
bâtis,v
bâtisseur,
Batman,
bâton,n
bâton de hockey (page does not exist),
bâton de perroquet (page does not exist),
bâton de poisson (page does not exist),
bâton de rouge (page does not exist),
bâton merdeux (page does not exist),
bâtonner,v
bâtonnet,n
bâtonnier,
batracien,n
batral,n
BATRAL,acronym
battable,adj
battage,n
battant,adj n
batte,
batte-beurre (page does not exist),
batterie,n
batteur,n
batteuse,n
battoir,n
battre,v
battre à plate couture (page does not exist),
battre de l'aile,
battre en brèche,v
battre ou mettre en carène (page does not exist),
battre quelqu'un (page does not exist),
battre sa coulpe (page does not exist),
battre son plein (page does not exist),
battu,adj
battu à plate couture (page does not exist),
batture,
bau,n
baud,
baudet,n
Baudouin,proper
baudrier,n
Baudrier d'Orion (page does not exist),
baudroyeur,n
baudruche,n
bauge,n
baume,n
Baumé,proper
baumé (page does not exist),
baume mélisse (page does not exist),
baumier,
bauxite,
bavard,adj n
bavard comme une pie,adj
bavardage,n
bavardée,v
bavardées,v
bavarder,v
bavardés,v
bavardeur,n
bavarois,adj n
Bavarois,n
Bavaroise,n
bavasser,v
bave,n
baver,v
bavette,n
baveur,adj
baveuse,
baveux,adj
Bavière,proper
bavoir,n
bavure,n
bayadère,n adj
bayard,n
bayart,n
bayer,v
bayonet,
Bayonne,proper
Bayonne ham,
bazar,n
bazarder,v
bazou (page does not exist),
de bambou (page does not exist),
la balle est dans son camp (page does not exist),
BBC,
BCBG,adj
BCE,proper
BD,n
BDK,init
BDQ,init
Béa (page does not exist),
beach-volley (page does not exist),
béal,n
béant,
bearberry,
Béarn,proper
béarnais,adj n
Béarnais,n
béarnaise,n
béat,adj
béatification,
béatifier,v
béatitude,n
Béatrice,proper
beau,adj prefix
beau-,prefix
beau comme un dieu,adj
beau-cousin (page does not exist),
beau-fils,n
beau-frère,n
beau-neveu,n
beau-papa,
beau-père,n
beau sexe,n
beauceron,adj
beaucoup,adv
beaucoup de (page does not exist),
beaucoup de bruit pour rien (page does not exist),
beauf,n
Beaujolais,proper
Beaujolais nouveau (page does not exist),
Beaujolais villages (page does not exist),
beaupré,n
beauté,n
bébé,n
bébé-boumeur,n
bébé-boumeuse,
bébé éprouvette (page does not exist),
bébé médicament (page does not exist),
bébé-médicament (page does not exist),
bébé tigre (page does not exist),
bébête,adj n
bec,n
bec Bunsen (page does not exist),
bec-croisé,n
bec-de-grue (page does not exist),
bec de lièvre (page does not exist),
bec-de-lièvre,n
bec et ongles (page does not exist),
bécane,n
bécarre,n adj
bécasse,n
bécasse de mer (page does not exist),
bécasseau sanderling (page does not exist),
becfigue,n
bêche,n
bêche-de-mer,n
bécher,n
bêcher,v
bécosses,n
bécot,n
bécoter,v
becqué,adj
becquée,n
becquerel,n
becqueter,v
bedaine,n
bédé,n
bedeau,n
bédo,n
bedon,n
bedonnant,adj
Bédouin (page does not exist),
béer,v
beffroi,n
bégaiement,n
bégayer,v
bégayeur,n
bégayeuse,
bégonia,n
bègue,adj n
béguètement,
bégueter,
bégueule,n adj
béguin,n
béhaviorisme,n
béhavioriste,adj
behead,
béhémot (page does not exist),
Béhémot (page does not exist),
béhémoth (page does not exist),
Béhémoth (page does not exist),
beige,adj
beignet,
béjaune,n
bel,adj
bel-,
bel esprit,n
bel et bien,adv
Bélarus,proper
Bélarusse (page does not exist),
bélarusse (page does not exist),
Belau,
bêlement,n
bêler,v
belette,n
belette d'Europe (page does not exist),
belette pygmée (page does not exist),
Belfast,
Belfort,proper
Belge,n
belge,adj
Belgique,proper
Belgorod,
Belgrade,proper
Bélial,proper
Bélier,proper n
bélier,n
belinogramme (page does not exist),
béliqueux (page does not exist),
Belize,
Bélizien,n
bélizien,adj
belladone,n
bellastre,n
bellâtre,n
belle,n
belle-,
Belle au bois dormant,proper
belle-de-jour,n
belle-de-nuit,n
belle-fille,n
belle-mère,n
belle-sœur,n
bellement,adv
belles-lettres,
belliciste,n
belligérance,n
belligérant,adj n
bellique,adj
belliqueux,adj
bellissime,adj
belluaire,n
Belluno,
Belmopan,
belote,n
bélouga,
béluga,n
belvédère,n
bémol,n
ben,int
bendir,n
bénédicité,n
Bénédicte,proper
bénédictin,
bénédictine,
bénédiction,n
bénéfactif,n
bénéfice,n
bénéficiaire,n adj
bénéficiairement,adv
bénéficier,v
bénéfique,adj
beneluxien,adj
benêt,n
Bénévent (page does not exist),
bénévolat,n
bénévole,adj n
bénévolement,adv
bénévolence,n
Bengale-Occidental (page does not exist),
bengali,adj n
Bengaluru,
béni-oui-oui (page does not exist),
bénignement,adv
bénignité,n
bénin,adj
Bénin,proper
Béninois,n
béninois,adj
bénir,v
bénit,adj
bénitier,n
Benjamin,proper
benjamin,n
benjamine,
benjoin,n
benne,
benne à ordures ménagères (page does not exist),
benne basculante (page does not exist),
Benoît,proper
benzène,n
benzoate de sodium (page does not exist),
benzodiazépine,n
benzoïque,adj
benzoyle,
Béotie,proper
Béotien (page does not exist),
béotien,adj n
bépo,n
béquille,n
Bérangère,proper
Berbère,n
berbère,n adj
Berbérie (page does not exist),
bercail,n
berçante,
berce,n
bercé trop près du mur (page does not exist),
berceau,n
bercer,v
berceur,adj
berceuse,n
Berdouilleux (page does not exist),
Bérengère,proper
Bérénice,proper
béret,n
Bergame (page does not exist),
bergamote,n
berge,n
Bergen,proper
berger,n
berger allemand,n
berger alsacien (page does not exist),
berger belge (page does not exist),
berger d'Alsace (page does not exist),
berger de bergame (page does not exist),
bergère,n
bergerie,n
bergeronnette,n
béribéri,n
berkélium,n
Berlin,proper
berline,n
berlingot,n
berlinois,adj
Berlinois,n
Berlinoise,
berlue,n
Berlugan,n
Bermudes,proper
bermudien,adj
Bermudien,n
bernache du Canada (page does not exist),
Bernadette,proper
Bernard,proper
bernard l'ermite,n
berne,n
Berne,proper
berner,v
bernois,adj
berrani,n
berrichon,adj
Berthe,proper
Bertrand,proper
béryl,n
béryllium,n
besace,n
besaiguë,n
besant,
Besantin,n
besantin,adj
besicles,n
bésicles,
besogne,n
besogner,v
besogneux,adj
besoin,n
Bessarabie (page does not exist),
best of,n
best-seller,n
bestiaire,n
bestial,adj
bestialement,adv
bestialité,n
bestiau,n
bestiaux,n
bestiole,
bestseller,
bêta,n adj
bêta-bloquant,n
bétail,n
bétaillère,n
bétaïne,n
bête,n adj
bête à bon Dieu (page does not exist),
bête à manger du foin,adj
bête comme ses pieds,adj
bête de proie (page does not exist),
bête de scène,
bête de somme,n
bête noire,
bétel,n
Bételgeuse,proper
bêtement,adv
Béthanie,proper
Bethléem,proper
Bethléhem,proper
Bethphagé,proper
Bethsabée,proper
Bethsaïda,proper
bêtifier,
bêtise,n
bêtises,
bêtisier,n
bétoine,
béton,n v
béton armé (page does not exist),
béton précontraint (page does not exist),
bétonner,v
bétonnière,n
bette,n
betterave,n
betterave à sucre,n
betterave sucrière (page does not exist),
beu,
beuglement,n
beugler,v
beuh,int
beur,n
beurette,n
beurk,int
beurre,n v
beurre corporel,n
beurre d'arachides,
beurre de cacahuète (page does not exist),
beurre de cacahuètes (page does not exist),
beurre de cacao (page does not exist),
beurre de karité,n
beurre de pinottes (page does not exist),
beurrer,v
beurrier,n
beuverie,n
bévue,n
bey,
Beyrouth,proper
Béziers,proper
La Belle au bois dormant (page does not exist),
la bémol majeur,n
le beurre et l'argent du beurre,n
Bhoutan,proper
bhoutanais,adj
Bhoutanais,n
bi,n adj
bi-,
bi-curieux,n adj
biafrais,adj
biais,n adj
biaiser,v
biathlète,n
biathlon,n
bibacier,
bibelot,
biberon,n
biberonner,
bibimbap,
bibine,
Bible,
bible,n
biblio-,
bibliobus,n
bibliographie,n
bibliographique,adj
bibliomancie (page does not exist),
bibliophage,
bibliophile,
bibliothécaire,n
bibliothèque,n
biblique,adj
bibliquement,adv
bibliste,
bic,n
bicaméral,
bicarbonate,
bicarbonate de soude (page does not exist),
bicentenaire,n
bicéphale,
biceps,n
biceps brachial (page does not exist),
biceps crural (page does not exist),
biceps fémoral (page does not exist),
biche,n
bichelamar,n
Bichkek,proper
bichlorure,
bichon,n
bichon à poil frisé,n
bichonne,
bichonner,v
bicoque,n
bicoquet,n
bicorne,n
bicyclette,n
bicyclette stationnaire (page does not exist),
bidasse,n
bide,n
bident,
bidet,n
bidimensionnel,adj
bidirectionnel,adj
bidoche,n
bidon,n adj
bidonner,v
bidonville,n
bidouillé,
bidouiller,v
bidule,n
bief,n
bief de moulin (page does not exist),
Biella,
bielle,
biélorusse,adj n
Biélorusse,n
Biélorussie,proper
bien,adv n
bien-aimé,
bien commun (page does not exist),
bien-cuit (page does not exist),
bien de consommation courante (page does not exist),
bien disposé (page does not exist),
bien élevé (page does not exist),
bien en chair (page does not exist),
bien entendu,adv
bien-être,n
bien fait,int
bien famé (page does not exist),
bien fendu,adj
bien galbé (page does not exist),
bien intentionné (page does not exist),
bien pensant,adj n
bien perdu bien connu,phrase
bien que,conj
bien sur,
bien sûr,adv
bien trop (page does not exist),
bien vu l'aveugle (page does not exist),
bienfaisance,n
bienfaisant,adj
bienfaisante,
bienfait,n
bienfaiteur,n
bienheureuse,
bienheureux,adj
biennal,adj
biens,
bienséance,n
bienséant,adj
bientôt,adv
bienveillance,n
bienveillant,adj
bienveillante,
bienvenir,v
bienvenu,adj n
bienvenue,n int
bienvenue au club (page does not exist),
bière,n
bière à la pression,n
bière anglaise (page does not exist),
bière blonde (page does not exist),
bière de gingembre (page does not exist),
bière panachée (page does not exist),
bièvre,n
biface,adj
biffage,n
biffer,v
biffure,
bifteck,n
bifurcation,n
bifurqué,
bifurquer,v
Big Bang,
big boss (page does not exist),
Big Brother,
bigame,adj n
bigamie,n
bigamiste (page does not exist),
bigarade,
bigaradier,n
bigarré,adj
bigarreau,n
bigarrure,
bigle,adj n
bigler,v
bigleux,adj
bigner (page does not exist),
bigorneau,n
bigot,n adj
bigoterie,n
bigotisme,n
bigouden,n
bigoudi,n
bigrement,adv
bihebdomadaire,adj n
bihebdomadairement,adv
bijectif,
bijectifs,
bijection,n
bijective,
bijectives,
bijou,n
bijouterie,n
bijoutier,n
bijoutière,
bijoux,
bikini,
bilan,n
bilan de santé (page does not exist),
bilatéral,adj
bilatéralement,adv
bile,n
bile jaune (page does not exist),
biler,v
bileux (page does not exist),
biliaire,adj
bilieuse,
bilieux,adj
bilinéaire,
bilingue,adj
bilinguisme,n
billard,n
billards,
bille,n
billes,
billet,n
billet à gratter (page does not exist),
billet de banque,n
billet de loterie (page does not exist),
billetterie,n
billevesée,n
billiard,num
billion,num
billot,n
billy jogréco-romain (page does not exist),
bilobé,
bilocation,
bimbelot,n
bimbeloterie,n
bimensuel,adj n
bimensuellement,
bimestriel,adj
bimetriellement (page does not exist),
bimillénaire,
bimoteur,adj
binaire,adj n
binairement,adv
binarité (page does not exist),
Binche,proper
binchois (page does not exist),
Binchois (page does not exist),
bine,
binette,
bingo,
biniou,n
binne,
binoclard,adj n
binocle,n
binocles,n
binoculaire,adj
binôme,n
binouse (page does not exist),
binouze,n
binz (page does not exist),
bio,adj n
bio-,prefix
bio-inspiré (page does not exist),
biobibliographie,n
biocentrique,adj
biochimatologique (page does not exist),
biochimie,n
biochimique,adj
biochimiquement,adv
biochimiste,n
bioclimatologie,n
bioclimatologique,adj
bioclimatologue,n
biodéchet,n
biodégradabilité,n
biodégradable,adj
biodiversité,n
bioélectricité,n
bioélectrique,adj
bioénergétique,adj n
bioéthanol,n
bioéthique,n
biofilm,
bioflavonoïde,n
biogaz,n
biogenèse,n
biogénétique,adj n
biogénétiquement (page does not exist),
biogéographie,n
biografilm (page does not exist),
biographe,n
biographie,n
biographique,adj
biographiquement,adv
bioindustrie,n
bioindustriel,adj
bioinformatique,adj n
bioinspiré (page does not exist),
biologie,n
biologie de l’évolution (page does not exist),
biologie du développement (page does not exist),
biologie évolutive du développement (page does not exist),
biologie marine,
biologie moléculaire (page does not exist),
biologique,adj
biologiquement,adv
biologiste,n
biologiste moléculaire (page does not exist),
biologue,n
bioluminescence,
biomarquer,n
biomasse,n
biomathématiques (page does not exist),
